x,y
399.93311309814453,276.73052406311035
401.5181655883789,276.7171516418457
403.1032180786133,276.70379638671875
404.68823623657227,276.6904239654541
406.27328872680664,276.67705154418945
407.858341217041,276.6636791229248
409.4433937072754,276.65032386779785
411.0284118652344,276.6369514465332
412.61346435546875,276.62357902526855
414.1985168457031,276.6102237701416
415.7835693359375,276.59685134887695
417.3686218261719,276.5834789276123
418.95363998413086,276.57010650634766
420.53869247436523,276.5567512512207
422.1237449645996,276.54337882995605
423.708797454834,276.53019523620605
425.29384994506836,276.51733779907227
426.87886810302734,276.5044631958008
428.4639205932617,276.4915885925293
430.0489730834961,276.4787139892578
431.63402557373047,276.4658393859863
433.21907806396484,276.45296478271484
434.8041305541992,276.44009017944336
436.3891830444336,276.4272155761719
437.97423553466797,276.4143409729004
439.55928802490234,276.4014663696289
441.1443405151367,276.3885917663574
442.7293586730957,276.37571716308594
444.3144111633301,276.36285972595215
445.89946365356445,276.34998512268066
447.4845161437988,276.33757400512695
449.0695686340332,276.32519721984863
450.6546211242676,276.312837600708
452.23967361450195,276.3004608154297
453.8247261047363,276.28808403015137
455.4097785949707,276.27570724487305
456.9948310852051,276.2633476257324
458.57988357543945,276.2509708404541
460.1649360656738,276.2385940551758
461.7499885559082,276.22621726989746
463.3350410461426,276.21385765075684
464.92009353637695,276.2014808654785
466.5051460266113,276.1891040802002
468.0901985168457,276.1767272949219
469.6752510070801,276.16469383239746
471.26033782958984,276.1528148651123
472.8453903198242,276.14095306396484
474.4304428100586,276.1290912628174
476.01549530029297,276.1172122955322
477.60054779052734,276.10535049438477
479.1856002807617,276.0934886932373
480.7706527709961,276.08160972595215
482.35570526123047,276.0697479248047
483.94079208374023,276.0578861236572
485.5258445739746,276.04600715637207
487.110897064209,276.0341453552246
488.69594955444336,276.02228355407715
490.28100204467773,276.010404586792
491.8660545349121,275.99880027770996
493.4511413574219,275.98745346069336
495.03619384765625,275.97608947753906
496.6212463378906,275.96474266052246
498.206298828125,275.95339584350586
499.79138565063477,275.94203186035156
501.37643814086914,275.93068504333496
502.9614906311035,275.91932106018066
504.5465431213379,275.90797424316406
506.13159561157227,275.89661026000977
507.71668243408203,275.88526344299316
509.3017349243164,275.87389945983887
510.8867874145508,275.86255264282227
512.4718399047852,275.85120582580566
514.0569267272949,275.8401165008545
515.6419792175293,275.82928466796875
517.2270317077637,275.8184356689453
518.8121185302734,275.80760383605957
520.3971710205078,275.79675483703613
521.9822235107422,275.7859230041504
523.567310333252,275.77507400512695
525.1523628234863,275.7642421722412
526.7374153137207,275.75341033935547
528.3225021362305,275.74256134033203
529.9075546264648,275.7317295074463
531.4926071166992,275.72088050842285
533.077693939209,275.7100486755371
534.6627464294434,275.6991996765137
536.2477989196777,275.68872833251953
537.8328857421875,275.67841148376465
539.4179382324219,275.66811180114746
541.0030250549316,275.6577949523926
542.588077545166,275.6474781036377
544.1731643676758,275.6371612548828
545.7582168579102,275.62684440612793
547.3433036804199,275.61652755737305
548.9283561706543,275.60621070861816
550.5134429931641,275.5958938598633
552.0984954833984,275.5855770111084
553.6835479736328,275.5752773284912
555.2686347961426,275.5649604797363
556.853687286377,275.55466079711914
558.4387741088867,275.5448760986328
560.0238609313965,275.5350742340088
561.6089134216309,275.52528953552246
563.1939659118652,275.51550483703613
564.779052734375,275.5057201385498
566.3641395568848,275.4959354400635
567.9491920471191,275.48615074157715
569.5342788696289,275.4763660430908
571.1193313598633,275.4665813446045
572.704418182373,275.45679664611816
574.2894706726074,275.44701194763184
575.8745574951172,275.4372272491455
577.4596099853516,275.4274425506592
579.0446968078613,275.4179153442383
580.6297492980957,275.4086627960205
582.2148361206055,275.39941024780273
583.7999229431152,275.39017486572266
585.3849754333496,275.3809223175049
586.9700622558594,275.3716697692871
588.5551490783691,275.36241722106934
590.1402015686035,275.35316467285156
591.7252883911133,275.3439121246338
593.310375213623,275.334659576416
594.8954277038574,275.32540702819824
596.4805145263672,275.31615447998047
598.0655670166016,275.3069019317627
599.6506881713867,275.2977180480957
601.2357406616211,275.2890148162842
602.8207931518555,275.28029441833496
604.4059143066406,275.27159118652344
605.990966796875,275.2628879547119
607.5760192871094,275.2541675567627
609.1611404418945,275.2454643249512
610.7461929321289,275.23674392700195
612.3312454223633,275.22804069519043
613.9163665771484,275.2193202972412
615.5014190673828,275.2106170654297
617.086540222168,275.20191383361816
618.6715927124023,275.19319343566895
620.2566452026367,275.1844902038574
621.8417663574219,275.17626762390137
623.4268188476562,275.1681137084961
625.0119400024414,275.1599426269531
626.5969924926758,275.15178871154785
628.1820449829102,275.1436176300049
629.7671661376953,275.1354637145996
631.3522186279297,275.12729263305664
632.9373397827148,275.11913871765137
634.5223922729492,275.1109676361084
636.1074447631836,275.10279655456543
637.6925659179688,275.09464263916016
639.2776184082031,275.0864715576172
640.8626708984375,275.0783176422119
642.4477920532227,275.0706100463867
644.032844543457,275.0630054473877
645.6179656982422,275.055383682251
647.2030181884766,275.04777908325195
648.7880706787109,275.04017448425293
650.3731918334961,275.0325527191162
651.9582443237305,275.0249481201172
653.5433654785156,275.01734352111816
655.12841796875,275.00972175598145
